model,setting,precision,recall
mixtral-8x7b,low-context,0.6436781609195402,0.7887323943661971
dolphin-2.5,low-context,0.5263157894736842,0.28169014084507044
gpt-3.5-turbo,low-context,0.46153846153846156,0.3380281690140845
gpt-4,low-context,0.6590909090909091,0.8169014084507042
gemini-pro,low-context,0.5897435897435898,0.647887323943662
mixtral-8x7b,high-context,0.6804123711340206,0.9295774647887324
dolphin-2.5,high-context,0.5849056603773585,0.8732394366197183
gpt-3.5-turbo,high-context,0.5267857142857143,0.8309859154929577
gpt-4,high-context,0.6574074074074074,1.0
gemini-pro,high-context,0.5979381443298969,0.8169014084507042
